Timestamp,ATV_101_ATV_CFG_ChannelStatus,ATV_101_ATV_CFG_DataStatus,ATV_101_ATV_CFG_FailCode0,ATV_101_ATV_CFG_FailCode1,ATV_101_ATV_CFG_FailCode2,ATV_101_ATV_CFG_Info,ATV_101_ATV_CFG_State,ATV_101_ATV_CFG_WarningCode,ATV_101_ATV_ST_CFGW,ATV_101_ATV_ST_PresentValue,ATV_101_ATV_ST_STW,ATV_101_ATV_ST_SetPoint,ATV_102_ATV_CFG_ChannelStatus,ATV_102_ATV_CFG_DataStatus,ATV_102_ATV_CFG_FailCode0,ATV_102_ATV_CFG_FailCode1,ATV_102_ATV_CFG_FailCode2,ATV_102_ATV_CFG_Info,ATV_102_ATV_CFG_State,ATV_102_ATV_CFG_WarningCode,ATV_102_ATV_ST_CFGW,ATV_102_ATV_ST_PresentValue,ATV_102_ATV_ST_STW,ATV_102_ATV_ST_SetPoint,ATV_103_ATV_CFG_ChannelStatus,ATV_103_ATV_CFG_DataStatus,ATV_103_ATV_CFG_FailCode0,ATV_103_ATV_CFG_FailCode1,ATV_103_ATV_CFG_FailCode2,ATV_103_ATV_CFG_Info,ATV_103_ATV_CFG_State,ATV_103_ATV_CFG_WarningCode,ATV_103_ATV_ST_CFGW,ATV_103_ATV_ST_PresentValue,ATV_103_ATV_ST_STW,ATV_103_ATV_ST_SetPoint,ATV_PID_CONDSUM1_ST_BYPASSW,ATV_PID_CONDSUM1_ST_CONDW,ATV_PID_CONDSUM1_ST_REARMREQW,ATV_PID_PIDCTL_CFG_GAIN,ATV_PID_PIDCTL_CFG_KD,ATV_PID_PIDCTL_CFG_OPHILIM,ATV_PID_PIDCTL_CFG_OPLOLIM,ATV_PID_PIDCTL_CFG_TD,ATV_PID_PIDCTL_CFG_TI,ATV_PID_PIDCTL_ST_CFGW,ATV_PID_PIDCTL_ST_OP,ATV_PID_PIDCTL_ST_PV,ATV_PID_PIDCTL_ST_SP,ATV_PID_PIDCTL_ST_STW,FT_100_Calc_flow,FT_100_KFact,FT_100_KFact_Value,FT_100_Ref_CMD,FT_101_Calc_flow,FT_101_KFact,FT_101_KFact_Value,FT_101_Ref_CMD,FT_102_Calc_flow,FT_102_KFact,FT_102_KFact_Value,FT_102_Ref_CMD,FT_210_Calc_flow,FT_210_KFact,FT_210_Ref_CMD,FT_211_Calc_flow,FT_211_KFact,FT_211_Ref_CMD,FT_220_Calc_flow,FT_220_KFact,FT_220_Ref_CMD,FT_220_Ref_FC_220_CMD,FT_221_Calc_flow,FT_221_KFact,FT_221_Ref_CMD,FT_221_Ref_FC_220_CMD,FT_600_AINPUT1_ST_PV,PT_101_AINPUT1_ST_PV,PT_201_AINPUT1_ST_PV,PT_210_AINPUT1_ST_PV,PT_220_AINPUT1_ST_PV,PT_700_AINPUT1_ST_PV,P_101_Alarm,P_101_CONDSUM_ST_BYPASSW,P_101_CONDSUM_ST_CONDW,P_101_CONDSUM_ST_REARMREQW,P_101_Freq_OP,P_101_Freq_SP,P_101_Run_CMD,P_101_Running,P_101_SDDEVCTL_ST_OP,P_101_SDDEVCTL_ST_PV,P_101_SDDEVCTL_ST_SP,P_101_SDDEVCTL_ST_STW,P_102_Alarm,P_102_CONDSUM_ST_BYPASSW,P_102_CONDSUM_ST_CONDW,P_102_CONDSUM_ST_REARMREQW,P_102_Freq_OP,P_102_Freq_SP,P_102_Run_CMD,P_102_Running,P_102_SDDEVCTL_ST_OP,P_102_SDDEVCTL_ST_PV,P_102_SDDEVCTL_ST_SP,P_102_SDDEVCTL_ST_STW,P_103_Alarm,P_103_CONDSUM_ST_BYPASSW,P_103_CONDSUM_ST_CONDW,P_103_CONDSUM_ST_REARMREQW,P_103_Freq_OP,P_103_Freq_SP,P_103_Run_CMD,P_103_Running,P_103_SDDEVCTL_ST_OP,P_103_SDDEVCTL_ST_PV,P_103_SDDEVCTL_ST_SP,P_103_SDDEVCTL_ST_STW,TT_201_AINPUT1_ST_PV
11/09/2020 16:05:26,0,4615,2,0,4,54,5,0,480,900,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,86.94000244,40,1,86.76000214,20000,1735200,1,0,3600,0,0,90,3600,90000,0,40.86000061,20000,0,40.5,20000,0,46.20000076,48000,0,1,45.95000076,72000,0,0,0,0.524000049,0.290668011,0,0,0,0,0,0,0,60,0,1,1,0,900,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.22750854
11/09/2020 16:05:27,0,4615,2,0,4,54,5,0,480,900,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,86.76000214,40,1,86.94000244,20000,1738800,1,0,3600,0,0,86.40000153,3600,86400,0,40.31999969,20000,0,40.5,20000,0,46.04999924,48000,0,1,46.09999847,72000,0,0,0,0.524000049,0.289556742,0,0,0,0,0,0,0,60,0,1,1,0,900,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.22750854
11/09/2020 16:05:28,0,4615,2,0,4,54,5,0,480,900,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,86.58000183,40,1,86.40000153,20000,1728000,1,0,3600,0,0,86.40000153,3600,86400,0,43.02000046,20000,0,40.13999939,20000,0,45.90000153,48000,0,1,46.15000153,72000,0,0,0,0.524000049,0.289094448,0,0,0,0,0,0,0,60,0,1,1,0,900,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.22750854
11/09/2020 16:05:29,0,4615,2,0,4,54,5,0,480,900,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,87.12000275,40,1,87.12000275,20000,1742400,1,0,3600,0,0,82.80000305,3600,82800,0,40.68000031,20000,0,40.5,20000,0,45.90000153,48000,0,1,45.95000076,72000,0,0,0,0.524000049,0.289288014,0,0,0,0,0,0,0,60,0,1,1,0,900,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.22750854
11/09/2020 16:05:30,0,4615,2,0,4,54,5,0,480,900,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,86.76000214,40,1,86.94000244,20000,1738800,1,0,3600,0,0,86.40000153,3600,86400,0,40.13999939,20000,0,40.31999969,20000,0,45.90000153,48000,0,1,45.84999847,72000,0,0,0,0.527999997,0.289828628,0,0,0,0,0,0,0,60,0,1,1,0,900,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.22750854
11/09/2020 16:05:31,0,4615,2,0,4,54,5,0,480,900,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,86.94000244,40,1,86.76000214,20000,1735200,1,0,3600,0,0,82.80000305,3600,82800,0,40.5,20000,0,40.31999969,20000,0,46.04999924,48000,0,1,45.79999924,72000,0,0,0,0.524000049,0.290006936,0,0,0,0,0,0,0,60,0,1,1,0,900,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.22750854
11/09/2020 16:05:34,0,4615,2,0,4,54,5,0,480,900,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,87.48000336,40,1,87.48000336,20000,1749600,1,0,3600,0,0,86.40000153,3600,86400,0,41.04000092,20000,0,40.13999939,20000,0,45.97499847,48000,0,1,46,72000,0,0,0,0.520000041,0.289236605,0,0,0,0,0,0,0,60,0,1,1,0,900,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.22750854
11/09/2020 16:05:35,0,4615,2,0,4,54,5,0,480,900,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,86.76000214,40,1,86.76000214,20000,1735200,1,0,3600,0,0,86.40000153,3600,86400,0,40.31999969,20000,0,40.68000031,20000,0,45.90000153,48000,0,1,46.04999924,72000,0,0,0,0.520000041,0.289214671,0,0,0,0,0,0,0,60,0,1,1,0,900,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.22750854
11/09/2020 16:05:36,0,4615,2,0,4,54,5,0,480,900,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,86.76000214,40,1,86.76000214,20000,1735200,1,0,3600,0,0,86.40000153,3600,86400,0,40.31999969,20000,0,40.5,20000,0,46.04999924,48000,0,1,45.90000153,72000,0,0,0,0.524000049,0.289940983,0,0,0,0,0,0,0,60,0,1,1,0,900,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.25384521
11/09/2020 16:05:38,0,4615,2,0,4,54,5,0,480,900,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,86.94000244,40,1,86.76000214,20000,1735200,1,0,3600,0,0,90,3600,90000,0,40.31999969,20000,0,40.31999969,20000,0,45.90000153,48000,0,1,45.79999924,72000,0,0,0,0.524000049,0.289720505,0,0,0,0,0,0,0,60,0,1,1,0,900,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.22750854
11/09/2020 16:05:39,0,4615,2,0,4,54,5,0,480,900,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,86.94000244,40,1,87.12000275,20000,1742400,1,0,3600,0,0,86.40000153,3600,86400,0,40.31999969,20000,0,40.13999939,20000,0,45.97499847,48000,0,1,45.79999924,72000,0,0,0,0.524000049,0.289099663,0,0,0,0,0,0,0,60,0,1,1,0,900,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.22750854
11/09/2020 16:05:40,0,4615,2,0,4,54,5,0,480,899.5,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,86.58000183,40,1,86.58000183,20000,1731600,1,0,3600,0,0,82.80000305,3600,82800,0,40.5,20000,0,40.5,20000,0,45.97499847,48000,0,1,45.79999924,72000,0,0,0,0.520000041,0.290495843,0,0,0,0,0,0,0,59.96666718,0,1,1,0,899.5,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.22750854
11/09/2020 16:05:41,0,4615,2,0,4,54,5,0,480,900,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,87.30000305,40,1,87.30000305,20000,1746000,1,0,3600,0,0,86.40000153,3600,86400,0,40.13999939,20000,0,40.68000031,20000,0,45.97499847,48000,0,1,45.84999847,72000,0,0,0,0.520000041,0.290311784,0,0,0,0,0,0,0,60,0,1,1,0,900,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.25384521
11/09/2020 16:05:42,0,4615,2,0,4,54,5,0,480,900,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,86.76000214,40,1,86.94000244,20000,1738800,1,0,3600,0,0,86.40000153,3600,86400,0,40.68000031,20000,0,40.5,20000,0,46.04999924,48000,0,1,45.95000076,72000,0,0,0,0.524000049,0.290311784,0,0,0,0,0,0,0,60,0,1,1,0,900,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.25384521
11/09/2020 16:05:44,0,4615,2,0,4,54,5,0,480,900,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,87.30000305,40,1,87.30000305,20000,1746000,1,0,3600,0,0,86.40000153,3600,86400,0,40.5,20000,0,40.5,20000,0,45.97499847,48000,0,1,45.84999847,72000,0,0,0,0.524000049,0.290178865,0,0,0,0,0,0,0,60,0,1,1,0,900,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.22750854
11/09/2020 16:05:46,0,4615,2,0,4,54,5,0,480,900,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,86.76000214,40,1,86.76000214,20000,1735200,1,0,3600,0,0,86.40000153,3600,86400,0,40.31999969,20000,0,40.86000061,20000,0,45.97499847,48000,0,1,46,72000,0,0,0,0.527999997,0.288984835,0,0,0,0,0,0,0,60,0,1,1,0,900,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.22750854
11/09/2020 16:05:47,0,4615,2,0,4,54,5,0,480,899.5,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,86.76000214,40,1,86.76000214,20000,1735200,1,0,3600,0,0,86.40000153,3600,86400,0,40.13999939,20000,0,40.31999969,20000,0,45.90000153,48000,0,1,46,72000,0,0,0,0.527999997,0.289712638,0,0,0,0,0,0,0,59.96666718,0,1,1,0,899.5,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.22750854
11/09/2020 16:05:48,0,4615,2,0,4,54,5,0,480,900,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,85.86000061,40,1,85.68000031,20000,1713600,1,0,3600,0,0,86.40000153,3600,86400,0,40.13999939,20000,0,40.31999969,20000,0,45.75,48000,0,1,46,72000,0,0,0,0.524000049,0.289685756,0,0,0,0,0,0,0,60,0,1,1,0,900,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.22750854
11/09/2020 16:05:49,0,4615,2,0,4,54,5,0,480,899.5,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,86.22000122,40,1,86.22000122,20000,1724400,1,0,3600,0,0,86.40000153,3600,86400,0,39.95999908,20000,0,39.77999878,20000,0,45.59999847,48000,0,1,45.75,72000,0,0,0,0.524000049,0.28929764,0,0,0,0,0,0,0,59.96666718,0,1,1,0,899.5,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.25384521
11/09/2020 16:05:55,0,4615,2,0,4,54,5,0,480,900,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,86.94000244,40,1,86.94000244,20000,1738800,1,0,3600,0,0,82.80000305,3600,82800,0,40.31999969,20000,0,40.5,20000,0,46.04999924,48000,0,1,45.70000076,72000,0,0,0,0.527999997,0.290455788,0,0,0,0,0,0,0,60,0,1,1,0,900,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.22750854
11/09/2020 16:06:00,0,4615,2,0,4,54,5,0,480,900,33284,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,4099,2,0,4,51,4,0,416,0,33280,900,0,0,0,0.200000003,0.200000003,100,0,2000,2000,4,0,86.76000214,40,1,86.76000214,20000,1735200,1,0,3600,0,0,86.40000153,3600,86400,0,40.31999969,20000,0,41.04000092,20000,0,45.90000153,48000,0,1,45.84999847,72000,0,0,0,0.524000049,0.289503217,0,0,0,0,0,0,0,60,0,1,1,0,900,0,2129,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,2112,24.22750854
